Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/baseline_spread_40k
Start Training: simple_spread_v3 | Mode: MLP | Agents: 3
Ep 8700 | Avg Score: -156.84 | Noise: 0.71 | Time: 9105s
Ep 8750 | Avg Score: -155.58 | Noise: 0.71 | Time: 9158s
Ep 8800 | Avg Score: -163.69 | Noise: 0.71 | Time: 9212s
Ep 8850 | Avg Score: -160.96 | Noise: 0.71 | Time: 9264s
Ep 8900 | Avg Score: -155.35 | Noise: 0.70 | Time: 9316s
Ep 8950 | Avg Score: -153.39 | Noise: 0.70 | Time: 9369s
Ep 9000 | Avg Score: -141.97 | Noise: 0.70 | Time: 9421s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 9050 | Avg Score: -134.37 | Noise: 0.70 | Time: 9474s
Ep 9100 | Avg Score: -133.85 | Noise: 0.70 | Time: 9528s
Ep 9150 | Avg Score: -139.48 | Noise: 0.70 | Time: 9581s
Ep 9200 | Avg Score: -143.04 | Noise: 0.69 | Time: 9634s
Ep 9250 | Avg Score: -141.07 | Noise: 0.69 | Time: 9688s
Ep 9300 | Avg Score: -138.82 | Noise: 0.69 | Time: 9741s
Ep 9350 | Avg Score: -135.83 | Noise: 0.69 | Time: 9794s
Ep 9400 | Avg Score: -137.27 | Noise: 0.69 | Time: 9848s
Ep 9450 | Avg Score: -140.26 | Noise: 0.69 | Time: 9901s
Ep 9500 | Avg Score: -144.46 | Noise: 0.68 | Time: 9955s
Ep 9550 | Avg Score: -149.52 | Noise: 0.68 | Time: 10008s
Ep 9600 | Avg Score: -149.58 | Noise: 0.68 | Time: 10062s
Ep 9650 | Avg Score: -147.84 | Noise: 0.68 | Time: 10115s
Ep 9700 | Avg Score: -144.00 | Noise: 0.68 | Time: 10169s
Ep 9750 | Avg Score: -141.36 | Noise: 0.68 | Time: 10223s
Ep 9800 | Avg Score: -140.60 | Noise: 0.67 | Time: 10276s
Ep 9850 | Avg Score: -140.67 | Noise: 0.67 | Time: 10330s
Ep 9900 | Avg Score: -138.44 | Noise: 0.67 | Time: 10383s
Ep 9950 | Avg Score: -132.19 | Noise: 0.67 | Time: 10436s
Ep 10000 | Avg Score: -137.46 | Noise: 0.67 | Time: 10489s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 10050 | Avg Score: -138.11 | Noise: 0.67 | Time: 10542s
Ep 10100 | Avg Score: -128.72 | Noise: 0.66 | Time: 10594s
Ep 10150 | Avg Score: -135.86 | Noise: 0.66 | Time: 10647s
Ep 10200 | Avg Score: -134.19 | Noise: 0.66 | Time: 10700s
Ep 10250 | Avg Score: -126.17 | Noise: 0.66 | Time: 10753s
Ep 10300 | Avg Score: -133.19 | Noise: 0.66 | Time: 10805s
Ep 10350 | Avg Score: -133.03 | Noise: 0.66 | Time: 10858s
Ep 10400 | Avg Score: -127.92 | Noise: 0.65 | Time: 10911s
Ep 10450 | Avg Score: -130.58 | Noise: 0.65 | Time: 10964s
Ep 10500 | Avg Score: -125.84 | Noise: 0.65 | Time: 11017s
Ep 10550 | Avg Score: -120.44 | Noise: 0.65 | Time: 11070s
Ep 10600 | Avg Score: -122.97 | Noise: 0.65 | Time: 11123s
Ep 10650 | Avg Score: -125.95 | Noise: 0.65 | Time: 11177s
Ep 10700 | Avg Score: -128.62 | Noise: 0.64 | Time: 11230s
Ep 10750 | Avg Score: -129.93 | Noise: 0.64 | Time: 11284s
Ep 10800 | Avg Score: -127.56 | Noise: 0.64 | Time: 11337s
Ep 10850 | Avg Score: -133.26 | Noise: 0.64 | Time: 11391s
Ep 10900 | Avg Score: -143.25 | Noise: 0.64 | Time: 11444s
Ep 10950 | Avg Score: -142.17 | Noise: 0.64 | Time: 11497s
Ep 11000 | Avg Score: -136.03 | Noise: 0.63 | Time: 11550s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 11050 | Avg Score: -133.09 | Noise: 0.63 | Time: 11602s
Ep 11100 | Avg Score: -131.06 | Noise: 0.63 | Time: 11655s
Ep 11150 | Avg Score: -130.53 | Noise: 0.63 | Time: 11708s
Ep 11200 | Avg Score: -134.22 | Noise: 0.63 | Time: 11761s
Ep 11250 | Avg Score: -129.66 | Noise: 0.62 | Time: 11813s
Ep 11300 | Avg Score: -127.48 | Noise: 0.62 | Time: 11865s
Ep 11350 | Avg Score: -129.54 | Noise: 0.62 | Time: 11919s
Ep 11400 | Avg Score: -124.63 | Noise: 0.62 | Time: 11972s
Ep 11450 | Avg Score: -124.19 | Noise: 0.62 | Time: 12026s
Ep 11500 | Avg Score: -121.65 | Noise: 0.62 | Time: 12079s
Ep 11550 | Avg Score: -119.20 | Noise: 0.61 | Time: 12133s
Ep 11600 | Avg Score: -127.21 | Noise: 0.61 | Time: 12186s
Ep 11650 | Avg Score: -129.74 | Noise: 0.61 | Time: 12239s
Ep 11700 | Avg Score: -125.32 | Noise: 0.61 | Time: 12293s
Ep 11750 | Avg Score: -119.69 | Noise: 0.61 | Time: 12346s
Ep 11800 | Avg Score: -116.16 | Noise: 0.61 | Time: 12400s
Ep 11850 | Avg Score: -117.78 | Noise: 0.60 | Time: 12453s
Ep 11900 | Avg Score: -122.24 | Noise: 0.60 | Time: 12506s
Ep 11950 | Avg Score: -121.69 | Noise: 0.60 | Time: 12559s
Ep 12000 | Avg Score: -121.84 | Noise: 0.60 | Time: 12612s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 12050 | Avg Score: -123.48 | Noise: 0.60 | Time: 12665s
Ep 12100 | Avg Score: -119.89 | Noise: 0.60 | Time: 12718s
Ep 12150 | Avg Score: -116.11 | Noise: 0.59 | Time: 12772s
Ep 12200 | Avg Score: -116.38 | Noise: 0.59 | Time: 12825s
Ep 12250 | Avg Score: -122.99 | Noise: 0.59 | Time: 12878s
Ep 12300 | Avg Score: -123.89 | Noise: 0.59 | Time: 12931s
Ep 12350 | Avg Score: -117.84 | Noise: 0.59 | Time: 12984s
Ep 12400 | Avg Score: -119.69 | Noise: 0.59 | Time: 13037s
Ep 12450 | Avg Score: -120.87 | Noise: 0.58 | Time: 13090s
Ep 12500 | Avg Score: -117.29 | Noise: 0.58 | Time: 13143s
Ep 12550 | Avg Score: -120.17 | Noise: 0.58 | Time: 13195s
Ep 12600 | Avg Score: -120.86 | Noise: 0.58 | Time: 13248s
Ep 12650 | Avg Score: -120.69 | Noise: 0.58 | Time: 13301s
Ep 12700 | Avg Score: -123.98 | Noise: 0.58 | Time: 13355s
Ep 12750 | Avg Score: -119.48 | Noise: 0.57 | Time: 13409s
Ep 12800 | Avg Score: -115.95 | Noise: 0.57 | Time: 13462s
Ep 12850 | Avg Score: -123.26 | Noise: 0.57 | Time: 13516s
Ep 12900 | Avg Score: -130.84 | Noise: 0.57 | Time: 13569s
Ep 12950 | Avg Score: -144.97 | Noise: 0.57 | Time: 13622s
Ep 13000 | Avg Score: -142.92 | Noise: 0.57 | Time: 13676s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 13050 | Avg Score: -137.63 | Noise: 0.56 | Time: 13729s
Ep 13100 | Avg Score: -130.39 | Noise: 0.56 | Time: 13781s
Ep 13150 | Avg Score: -117.72 | Noise: 0.56 | Time: 13834s
Ep 13200 | Avg Score: -117.43 | Noise: 0.56 | Time: 13887s
Ep 13250 | Avg Score: -113.18 | Noise: 0.56 | Time: 13941s
Ep 13300 | Avg Score: -113.44 | Noise: 0.56 | Time: 13994s
Ep 13350 | Avg Score: -118.26 | Noise: 0.55 | Time: 14048s
Ep 13400 | Avg Score: -124.15 | Noise: 0.55 | Time: 14102s
Ep 13450 | Avg Score: -128.51 | Noise: 0.55 | Time: 14156s
Ep 13500 | Avg Score: -124.47 | Noise: 0.55 | Time: 14210s
Ep 13550 | Avg Score: -122.33 | Noise: 0.55 | Time: 14263s
Ep 13600 | Avg Score: -121.20 | Noise: 0.55 | Time: 14317s
Ep 13650 | Avg Score: -119.84 | Noise: 0.54 | Time: 14370s
Ep 13700 | Avg Score: -125.55 | Noise: 0.54 | Time: 14423s
Ep 13750 | Avg Score: -124.37 | Noise: 0.54 | Time: 14477s
Ep 13800 | Avg Score: -122.99 | Noise: 0.54 | Time: 14531s
Ep 13850 | Avg Score: -119.07 | Noise: 0.54 | Time: 14584s
Ep 13900 | Avg Score: -115.80 | Noise: 0.54 | Time: 14638s
Ep 13950 | Avg Score: -118.02 | Noise: 0.53 | Time: 14691s
Ep 14000 | Avg Score: -114.88 | Noise: 0.53 | Time: 14745s
Models saved to ./runs/simple_spread_v3/baseline_spread_40k/model.pt
Ep 14050 | Avg Score: -108.70 | Noise: 0.53 | Time: 14798s
Ep 14100 | Avg Score: -110.91 | Noise: 0.53 | Time: 14850s
Ep 14150 | Avg Score: -118.34 | Noise: 0.53 | Time: 14904s
Ep 14200 | Avg Score: -120.10 | Noise: 0.53 | Time: 14957s
Ep 14250 | Avg Score: -127.64 | Noise: 0.53 | Time: 15010s
Ep 14300 | Avg Score: -130.16 | Noise: 0.52 | Time: 15063s
Ep 14350 | Avg Score: -122.29 | Noise: 0.52 | Time: 15115s
Ep 14400 | Avg Score: -117.87 | Noise: 0.52 | Time: 15167s
Ep 14450 | Avg Score: -116.16 | Noise: 0.52 | Time: 15220s
Ep 14500 | Avg Score: -115.19 | Noise: 0.52 | Time: 15272s
Ep 14550 | Avg Score: -110.30 | Noise: 0.52 | Time: 15325s
Ep 14600 | Avg Score: -108.26 | Noise: 0.51 | Time: 15379s
Ep 14650 | Avg Score: -107.91 | Noise: 0.51 | Time: 15432s
Ep 14700 | Avg Score: -110.51 | Noise: 0.51 | Time: 15484s
Ep 14750 | Avg Score: -117.01 | Noise: 0.51 | Time: 15538s
Ep 14800 | Avg Score: -117.43 | Noise: 0.51 | Time: 15592s
Ep 14850 | Avg Score: -110.80 | Noise: 0.51 | Time: 15645s
Ep 14900 | Avg Score: -106.00 | Noise: 0.50 | Time: 15698s
Ep 14950 | Avg Score: -102.70 | Noise: 0.50 | Time: 15751s
