Training using device: cuda
Creating test environment 'simple_spread_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [18, 18, 18]
Action bounds for each agent:
  ['agent_0', 'agent_1', 'agent_2']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from agent_0: [0.0, 1.0]
Padded action sizes: [5, 5, 5]
Padded observation sizes: [18, 18, 18]
Environment: simple_spread_v3
Number of agents: 3
Agent names: ['agent_0', 'agent_1', 'agent_2']
Creating single 'simple_spread_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_spread_v3/dag_spread_40k
Start Training: simple_spread_v3 | Mode: DAG | Agents: 3
Ep 10500 | Avg Score: -161.82 | Noise: 0.65 | Time: 16064s
Ep 10550 | Avg Score: -156.22 | Noise: 0.65 | Time: 16140s
Ep 10600 | Avg Score: -151.66 | Noise: 0.65 | Time: 16217s
Ep 10650 | Avg Score: -149.08 | Noise: 0.65 | Time: 16294s
Ep 10700 | Avg Score: -148.25 | Noise: 0.64 | Time: 16370s
Ep 10750 | Avg Score: -143.47 | Noise: 0.64 | Time: 16447s
Ep 10800 | Avg Score: -144.42 | Noise: 0.64 | Time: 16524s
Ep 10850 | Avg Score: -149.60 | Noise: 0.64 | Time: 16601s
Ep 10900 | Avg Score: -154.32 | Noise: 0.64 | Time: 16678s
Ep 10950 | Avg Score: -158.68 | Noise: 0.64 | Time: 16755s
Ep 11000 | Avg Score: -154.18 | Noise: 0.63 | Time: 16831s
Models saved to ./runs/simple_spread_v3/dag_spread_40k/model.pt
Ep 11050 | Avg Score: -151.74 | Noise: 0.63 | Time: 16908s
Ep 11100 | Avg Score: -147.34 | Noise: 0.63 | Time: 16986s
Ep 11150 | Avg Score: -146.91 | Noise: 0.63 | Time: 17063s
Ep 11200 | Avg Score: -155.30 | Noise: 0.63 | Time: 17141s
Ep 11250 | Avg Score: -153.55 | Noise: 0.62 | Time: 17218s
Ep 11300 | Avg Score: -150.48 | Noise: 0.62 | Time: 17295s
Ep 11350 | Avg Score: -148.61 | Noise: 0.62 | Time: 17372s
Ep 11400 | Avg Score: -144.83 | Noise: 0.62 | Time: 17449s
Ep 11450 | Avg Score: -146.97 | Noise: 0.62 | Time: 17525s
Ep 11500 | Avg Score: -157.27 | Noise: 0.62 | Time: 17602s
Ep 11550 | Avg Score: -157.13 | Noise: 0.61 | Time: 17679s
Ep 11600 | Avg Score: -147.41 | Noise: 0.61 | Time: 17756s
Ep 11650 | Avg Score: -148.27 | Noise: 0.61 | Time: 17833s
Ep 11700 | Avg Score: -144.14 | Noise: 0.61 | Time: 17910s
