Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/dag_adv_40k
Start Training: simple_adversary_v3 | Mode: DAG | Agents: 3
Ep 11200 | Avg Score: 25.18 | Noise: 0.63 | Time: 17306s
Ep 11250 | Avg Score: 22.60 | Noise: 0.62 | Time: 17384s
Ep 11300 | Avg Score: 23.92 | Noise: 0.62 | Time: 17461s
Ep 11350 | Avg Score: 23.93 | Noise: 0.62 | Time: 17537s
Ep 11400 | Avg Score: 25.74 | Noise: 0.62 | Time: 17613s
Ep 11450 | Avg Score: 24.28 | Noise: 0.62 | Time: 17691s
Ep 11500 | Avg Score: 20.72 | Noise: 0.62 | Time: 17767s
Ep 11550 | Avg Score: 25.32 | Noise: 0.61 | Time: 17844s
Ep 11600 | Avg Score: 24.63 | Noise: 0.61 | Time: 17921s
Ep 11650 | Avg Score: 21.55 | Noise: 0.61 | Time: 17997s
Ep 11700 | Avg Score: 25.57 | Noise: 0.61 | Time: 18074s
Ep 11750 | Avg Score: 27.85 | Noise: 0.61 | Time: 18150s
Ep 11800 | Avg Score: 24.71 | Noise: 0.61 | Time: 18226s
Ep 11850 | Avg Score: 21.04 | Noise: 0.60 | Time: 18302s
Ep 11900 | Avg Score: 22.17 | Noise: 0.60 | Time: 18379s
Ep 11950 | Avg Score: 24.29 | Noise: 0.60 | Time: 18455s
Ep 12000 | Avg Score: 24.45 | Noise: 0.60 | Time: 18531s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 12050 | Avg Score: 20.69 | Noise: 0.60 | Time: 18606s
Ep 12100 | Avg Score: 17.11 | Noise: 0.60 | Time: 18682s
Ep 12150 | Avg Score: 18.05 | Noise: 0.59 | Time: 18760s
Ep 12200 | Avg Score: 23.02 | Noise: 0.59 | Time: 18837s
Ep 12250 | Avg Score: 28.03 | Noise: 0.59 | Time: 18915s
Ep 12300 | Avg Score: 27.20 | Noise: 0.59 | Time: 18993s
Ep 12350 | Avg Score: 26.09 | Noise: 0.59 | Time: 19069s
Ep 12400 | Avg Score: 24.23 | Noise: 0.59 | Time: 19142s
Ep 12450 | Avg Score: 24.25 | Noise: 0.58 | Time: 19215s
Ep 12500 | Avg Score: 28.59 | Noise: 0.58 | Time: 19292s
Ep 12550 | Avg Score: 24.38 | Noise: 0.58 | Time: 19368s
Ep 12600 | Avg Score: 18.86 | Noise: 0.58 | Time: 19445s
Ep 12650 | Avg Score: 17.29 | Noise: 0.58 | Time: 19521s
Ep 12700 | Avg Score: 13.52 | Noise: 0.58 | Time: 19598s
Ep 12750 | Avg Score: 13.14 | Noise: 0.57 | Time: 19675s
Ep 12800 | Avg Score: 17.24 | Noise: 0.57 | Time: 19752s
Ep 12850 | Avg Score: 18.95 | Noise: 0.57 | Time: 19830s
Ep 12900 | Avg Score: 19.84 | Noise: 0.57 | Time: 19908s
Ep 12950 | Avg Score: 24.72 | Noise: 0.57 | Time: 19984s
Ep 13000 | Avg Score: 25.81 | Noise: 0.57 | Time: 20061s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 13050 | Avg Score: 24.81 | Noise: 0.56 | Time: 20139s
Ep 13100 | Avg Score: 23.98 | Noise: 0.56 | Time: 20216s
Ep 13150 | Avg Score: 20.87 | Noise: 0.56 | Time: 20293s
Ep 13200 | Avg Score: 19.72 | Noise: 0.56 | Time: 20369s
Ep 13250 | Avg Score: 23.11 | Noise: 0.56 | Time: 20445s
Ep 13300 | Avg Score: 25.44 | Noise: 0.56 | Time: 20522s
Ep 13350 | Avg Score: 27.50 | Noise: 0.55 | Time: 20598s
Ep 13400 | Avg Score: 26.92 | Noise: 0.55 | Time: 20674s
Ep 13450 | Avg Score: 24.42 | Noise: 0.55 | Time: 20751s
Ep 13500 | Avg Score: 24.74 | Noise: 0.55 | Time: 20828s
Ep 13550 | Avg Score: 23.84 | Noise: 0.55 | Time: 20904s
Ep 13600 | Avg Score: 27.57 | Noise: 0.55 | Time: 20980s
Ep 13650 | Avg Score: 31.12 | Noise: 0.54 | Time: 21057s
Ep 13700 | Avg Score: 26.77 | Noise: 0.54 | Time: 21134s
Ep 13750 | Avg Score: 26.93 | Noise: 0.54 | Time: 21211s
Ep 13800 | Avg Score: 24.81 | Noise: 0.54 | Time: 21288s
Ep 13850 | Avg Score: 22.96 | Noise: 0.54 | Time: 21365s
Ep 13900 | Avg Score: 26.60 | Noise: 0.54 | Time: 21441s
Ep 13950 | Avg Score: 31.04 | Noise: 0.53 | Time: 21518s
Ep 14000 | Avg Score: 27.89 | Noise: 0.53 | Time: 21595s
Models saved to ./runs/simple_adversary_v3/dag_adv_40k/model.pt
Ep 14050 | Avg Score: 23.80 | Noise: 0.53 | Time: 21672s
Ep 14100 | Avg Score: 26.43 | Noise: 0.53 | Time: 21750s
Ep 14150 | Avg Score: 27.12 | Noise: 0.53 | Time: 21828s
Ep 14200 | Avg Score: 27.54 | Noise: 0.53 | Time: 21905s
Ep 14250 | Avg Score: 28.81 | Noise: 0.53 | Time: 21980s
Ep 14300 | Avg Score: 26.86 | Noise: 0.52 | Time: 22050s
Ep 14350 | Avg Score: 20.80 | Noise: 0.52 | Time: 22121s
Ep 14400 | Avg Score: 19.70 | Noise: 0.52 | Time: 22196s
Ep 14450 | Avg Score: 22.41 | Noise: 0.52 | Time: 22273s
Ep 14500 | Avg Score: 22.61 | Noise: 0.52 | Time: 22349s
Ep 14550 | Avg Score: 20.58 | Noise: 0.52 | Time: 22426s
Ep 14600 | Avg Score: 21.38 | Noise: 0.51 | Time: 22502s
Ep 14650 | Avg Score: 24.68 | Noise: 0.51 | Time: 22579s
Ep 14700 | Avg Score: 26.28 | Noise: 0.51 | Time: 22656s
Ep 14750 | Avg Score: 24.80 | Noise: 0.51 | Time: 22733s
Ep 14800 | Avg Score: 21.52 | Noise: 0.51 | Time: 22810s
Ep 14850 | Avg Score: 16.96 | Noise: 0.51 | Time: 22886s
Ep 14900 | Avg Score: 16.01 | Noise: 0.50 | Time: 22963s
Ep 14950 | Avg Score: 15.38 | Noise: 0.50 | Time: 23040s
Ep 15000 | Avg Score: 16.99 | Noise: 0.50 | Time: 23116s
