Training using device: cuda
Creating test environment 'simple_adversary_v3' to get agent information...
error: XDG_RUNTIME_DIR not set in the environment.
Original action sizes: [5, 5, 5]
Original observation sizes: [8, 10, 10]
Action bounds for each agent:
  ['adversary_0', 'agent_0', 'agent_1']: [[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]
All agents have the same action bounds.
Using action bounds from adversary_0: [0.0, 1.0]
Applying observation padding for simple_adversary_v3
Padded action sizes: [5, 5, 5]
Padded observation sizes: [10, 10, 10]
Environment: simple_adversary_v3
Number of agents: 3
Agent names: ['adversary_0', 'agent_0', 'agent_1']
Creating single 'simple_adversary_v3' environment...
error: XDG_RUNTIME_DIR not set in the environment.
Agent Groups: [0, 0, 0]
📁 Training data will be saved to: ./runs/simple_adversary_v3/baseline_adv_40k
Start Training: simple_adversary_v3 | Mode: MLP | Agents: 3
Ep 11800 | Avg Score: -10.08 | Noise: 0.61 | Time: 12182s
Ep 11850 | Avg Score: -7.34 | Noise: 0.60 | Time: 12234s
Ep 11900 | Avg Score: -4.06 | Noise: 0.60 | Time: 12286s
Ep 11950 | Avg Score: -6.94 | Noise: 0.60 | Time: 12337s
Ep 12000 | Avg Score: -8.54 | Noise: 0.60 | Time: 12388s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 12050 | Avg Score: -5.73 | Noise: 0.60 | Time: 12439s
Ep 12100 | Avg Score: -7.16 | Noise: 0.60 | Time: 12490s
Ep 12150 | Avg Score: -8.37 | Noise: 0.59 | Time: 12541s
Ep 12200 | Avg Score: -7.70 | Noise: 0.59 | Time: 12592s
Ep 12250 | Avg Score: -7.86 | Noise: 0.59 | Time: 12643s
Ep 12300 | Avg Score: -11.02 | Noise: 0.59 | Time: 12695s
Ep 12350 | Avg Score: -9.71 | Noise: 0.59 | Time: 12746s
Ep 12400 | Avg Score: -7.59 | Noise: 0.59 | Time: 12798s
Ep 12450 | Avg Score: -9.47 | Noise: 0.58 | Time: 12849s
Ep 12500 | Avg Score: -8.45 | Noise: 0.58 | Time: 12901s
Ep 12550 | Avg Score: -8.79 | Noise: 0.58 | Time: 12953s
Ep 12600 | Avg Score: -9.35 | Noise: 0.58 | Time: 13004s
Ep 12650 | Avg Score: -12.44 | Noise: 0.58 | Time: 13056s
Ep 12700 | Avg Score: -16.88 | Noise: 0.58 | Time: 13107s
Ep 12750 | Avg Score: -15.41 | Noise: 0.57 | Time: 13158s
Ep 12800 | Avg Score: -14.30 | Noise: 0.57 | Time: 13209s
Ep 12850 | Avg Score: -19.96 | Noise: 0.57 | Time: 13260s
Ep 12900 | Avg Score: -23.54 | Noise: 0.57 | Time: 13312s
Ep 12950 | Avg Score: -17.74 | Noise: 0.57 | Time: 13363s
Ep 13000 | Avg Score: -13.55 | Noise: 0.57 | Time: 13414s
Models saved to ./runs/simple_adversary_v3/baseline_adv_40k/model.pt
Ep 13050 | Avg Score: -11.06 | Noise: 0.56 | Time: 13465s
Ep 13100 | Avg Score: -6.29 | Noise: 0.56 | Time: 13516s
Ep 13150 | Avg Score: -4.67 | Noise: 0.56 | Time: 13568s
Ep 13200 | Avg Score: -5.15 | Noise: 0.56 | Time: 13619s
Ep 13250 | Avg Score: -4.49 | Noise: 0.56 | Time: 13670s
Ep 13300 | Avg Score: -2.35 | Noise: 0.56 | Time: 13721s
Ep 13350 | Avg Score: -3.15 | Noise: 0.55 | Time: 13773s
